CPV_Categoria;Descripcion_Categoria;Tipo_de_contrato
48811000-6;Sistema de correo electronico;Suministros
48812000-3;Sistemas de informacion financiera;Suministros
48813000-0;Sistema de informacion al pasajero;Suministros
48813100-1;Tablones de anuncios electronicos;Suministros
48813200-2;Sistema de informacion a los pasajeros en tiempo real;Suministros
48814000-7;Sistemas de informacion medica;Suministros
48814100-8;Sistema de informacion de enfermeria;Suministros
48814200-9;Sistema de administracion de pacientes;Suministros
48814300-0;Sistema de gestion de quirofanos;Suministros
48814400-1;Sistema de informacion clinica;Suministros
48814500-2;Sistema de gestion de pacientes (Casemix);Suministros
48821000-9;Servidores de red;Suministros
48822000-6;Servidores de ordenador;Suministros
48823000-3;Servidores de fichero;Suministros
48824000-0;Servidores de impresora;Suministros
48825000-7;Servidores web;Suministros
48911000-7;Paquetes de software de juegos informaticos;Suministros
48912000-4;Juegos para la familia;Suministros
48913000-1;Salvapantallas;Suministros
48921000-0;Sistema de automatizacion;Suministros
48931000-3;Paquetes de software de formacion;Suministros
48932000-0;Paquetes de software de entretenimiento;Suministros
48941000-6;Paquetes de software de dise?os;Suministros
48942000-3;Paquetes de software de calendario;Suministros
48951000-9;Sistema de localizacion de barcos;Suministros
48952000-6;Sistemas de megafonia;Suministros
48961000-2;Controladores de ethernet;Suministros
48962000-9;Controladores de tarjetas de graficos;Suministros
48971000-5;Paquetes de software para crear libretas de direcciones;Suministros
48972000-2;Paquetes de software de elaboracion de etiquetas;Suministros
48981000-8;Paquetes de software de compilacion;Suministros
48982000-5;Paquetes de software de gestion de la configuracion;Suministros
48983000-2;Paquetes de software de desarrollo;Suministros
48984000-9;Herramientas de interfaz grafica de usuario (GUI);Suministros
48985000-6;Lenguajes de programacion;Suministros
48986000-3;Paquetes de software de ensayo de programas;Suministros
48987000-0;Paquetes de software de depuracion;Suministros
48991000-1;Paquetes de software de hoja de calculo;Suministros
50111000-6;Servicios de administracion, reparacion y mantenimiento de parque de vehiculos;Servicios
50111100-7;Servicios de gestion de parque de vehiculos;Servicios
50111110-0;Servicios de soporte de parque de vehiculos;Servicios
50112000-3;Servicios de reparacion y mantenimiento de automoviles;Servicios
50112100-4;Servicios de reparacion de automoviles;Servicios
50112110-7;Servicios de reparacion de carrocerias de vehiculos;Servicios
50112111-4;Servicios de chapisteria;Servicios
50112120-0;Servicios de reemplazo de parabrisas;Servicios
50112200-5;Servicios de mantenimiento de automoviles;Servicios
50112300-6;Servicios de lavado de automoviles y similares;Servicios
50113000-0;Servicios de reparacion y mantenimiento de autobuses;Servicios
50113100-1;Servicios de reparacion de autobuses;Servicios
50113200-2;Servicios de mantenimiento de autobuses;Servicios
50114000-7;Servicios de reparacion y mantenimiento de camiones;Servicios
50114100-8;Servicios de reparacion de camiones;Servicios
50114200-9;Servicios de mantenimiento de camiones;Servicios
50115000-4;Servicios de reparacion y mantenimiento de motocicletas;Servicios
50115100-5;Servicios de reparacion de motocicletas;Servicios
50115200-6;Servicios de mantenimiento de motocicletas;Servicios
50116000-1;Servicios de mantenimiento y reparacion relacionados con partes especificas de vehiculos;Servicios
50116100-2;Servicios de reparacion de sistemas electricos;Servicios
50116200-3;Servicios de reparacion y mantenimiento de frenos y partes de frenos de vehiculos;Servicios
50116300-4;Servicios de reparacion y mantenimiento de cajas de cambio de vehiculos;Servicios
50116400-5;Servicios de reparacion y mantenimiento de transmisiones de vehiculos;Servicios
50116500-6;Servicios de reparacion de neumaticos, incluidos el ajuste y el equilibrado de ruedas;Servicios
50116510-9;Servicios de recauchutado de neumaticos;Servicios
50116600-7;Servicios de reparacion y mantenimiento de motores de arranque;Servicios
50117000-8;Servicios de transformacion y reacondicionamiento de vehiculos;Servicios
50117100-9;Servicios de transformacion de vehiculos;Servicios
50117200-0;Servicios de transformacion de ambulancias;Servicios
50117300-1;Servicios de reacondicionamiento de vehiculos;Servicios
50118000-5;Servicios de auxilio de automoviles en carretera;Servicios
50118100-6;Servicios de reparacion de averias y recuperacion de automoviles;Servicios
50118110-9;Servicios de remolque de vehiculos;Servicios
50118200-7;Servicios de reparacion de averias y recuperacion de vehiculos comerciales;Servicios
50118300-8;Servicios de reparacion de averias y recuperacion de autobuses;Servicios
50118400-9;Servicios de reparacion de averias y recuperacion de vehiculos de motor;Servicios
50118500-0;Servicios de reparacion de averias y recuperacion de motocicletas;Servicios
50211000-7;Servicios de reparacion y mantenimiento de aeronaves;Servicios
50211100-8;Servicios de mantenimiento de aeronaves;Servicios
50211200-9;Servicios de reparacion de aeronaves;Servicios
50211210-2;Servicios de reparacion y mantenimiento de motores de aviacion;Servicios
50211211-9;Servicios de mantenimiento de motores de aviacion;Servicios
50211212-6;Servicios de reparacion de motores de aviacion;Servicios
50211300-0;Servicios de reacondicionamiento de aeronaves;Servicios
50211310-3;Servicios de reacondicionamiento de motores de aviacion;Servicios
50212000-4;Servicios de reparacion y mantenimiento de helicopteros;Servicios
50221000-0;Servicios de reparacion y mantenimiento de locomotoras;Servicios
50221100-1;Servicios de reparacion y mantenimiento de cajas de cambio de locomotoras;Servicios
50221200-2;Servicios de reparacion y mantenimiento de sistemas de transmision de locomotoras;Servicios
50221300-3;Servicios de reparacion y mantenimiento de ejes de locomotoras;Servicios
50221400-4;Servicios de reparacion y mantenimiento de frenos y partes de frenos de locomotoras;Servicios
50222000-7;Servicios de reparacion y mantenimiento de material movil;Servicios
50222100-8;Servicios de reparacion y mantenimiento de amortiguadores;Servicios
50223000-4;Servicios de reacondicionamiento de locomotoras;Servicios
50224000-1;Servicios de reacondicionamiento de material movil;Servicios
50224100-2;Servicios de reacondicionamiento de asientos de material movil;Servicios
50224200-3;Servicios de reacondicionamiento de coches de pasajeros;Servicios
50225000-8;Servicios de mantenimiento de vias ferreas;Servicios
50229000-6;Demolicion de material movil;Servicios
50232000-0;Servicios de mantenimiento de instalaciones de alumbrado publico y semaforos;Servicios
50232100-1;Servicios de mantenimiento de alumbrado publico de calles;Servicios
50232110-4;Puesta a punto de instalaciones de iluminacion publica;Servicios
50232200-2;Servicios de mantenimiento de se?ales de trafico;Servicios
50241000-6;Servicios de reparacion y mantenimiento de buques;Servicios
50241100-7;Servicios de reparacion de barcos;Servicios
50241200-8;Servicios de reparacion de transbordadores;Servicios
50242000-3;Servicios de transformacion de buques;Servicios
50243000-0;Servicios de demolicion de buques;Servicios
50244000-7;Servicios de reacondicionamiento de buques o barcos;Servicios
50245000-4;Servicios de modernizacion de buques;Servicios
50246000-1;Servicios de mantenimiento de equipo portuario;Servicios
50246100-2;Servicios de entrada en dique seco;Servicios
50246200-3;Servicios de mantenimiento de boyas;Servicios
50246300-4;Servicios de reparacion y mantenimiento de estructuras flotantes;Servicios
50246400-5;Servicios de reparacion y mantenimiento de plataformas flotantes;Servicios
50311000-8;Mantenimiento y reparacion de maquinas de contabilidad de oficina;Servicios
50311400-2;Mantenimiento y reparacion de calculadoras y maquinas de contabilidad;Servicios
50312000-5;Mantenimiento y reparacion de equipo informatico;Servicios
50312100-6;Mantenimiento y reparacion de ordenadores <mainframe>;Servicios
50312110-9;Mantenimiento de ordenadores <mainframe>;Servicios
50312120-2;Reparacion de ordenadores <mainframe>;Servicios
50312200-7;Mantenimiento y reparacion de miniordenadores;Servicios
50312210-0;Mantenimiento de miniordenadores;Servicios
50312220-3;Reparacion de miniordenadores;Servicios
50312300-8;Mantenimiento y reparacion de equipos de redes de datos;Servicios
50312310-1;Mantenimiento de equipos de redes de datos;Servicios
50312320-4;Reparacion de equipos de redes de datos;Servicios
50312400-9;Mantenimiento y reparacion de microordenadores;Servicios
50312410-2;Mantenimiento de microordenadores;Servicios
50312420-5;Reparacion de microordenadores;Servicios
50312600-1;Mantenimiento y reparacion de equipo de tecnologia de la informacion;Servicios
50312610-4;Mantenimiento de equipo de tecnologia de la informacion;Servicios
50312620-7;Reparacion de equipo de tecnologia de la informacion;Servicios
50313000-2;Mantenimiento y reparacion de maquinas de reprografia;Servicios
50313100-3;Servicios de reparacion de fotocopiadoras;Servicios
50313200-4;Servicios de mantenimiento de fotocopiadoras;Servicios
50314000-9;Servicios de reparacion y mantenimiento de maquinas telecopiadoras;Servicios
50315000-6;Servicios de reparacion y mantenimiento de contestadores telefonicos;Servicios
50316000-3;Mantenimiento y reparacion de maquinas expendedoras de billetes;Servicios
50317000-0;Mantenimiento y reparacion de maquinas de validacion de billetes;Servicios
50321000-1;Servicios de reparacion de ordenadores personales;Servicios
50322000-8;Servicios de mantenimiento de ordenadores personales;Servicios
50323000-5;Mantenimiento y reparacion de perifericos informaticos;Servicios
50323100-6;Mantenimiento de perifericos informaticos;Servicios
50323200-7;Reparacion de perifericos informaticos;Servicios
50324000-2;Servicios de asistencia a ordenadores personales;Servicios
50324100-3;Servicios de mantenimiento de sistemas;Servicios
50324200-4;Servicios de mantenimiento preventivo;Servicios
50331000-4;Servicios de reparacion y mantenimiento de lineas de telecomunicacion;Servicios
50332000-1;Servicios de mantenimiento de infraestructura de telecomunicaciones;Servicios
50333000-8;Servicios de mantenimiento de equipo de radiocomunicaciones;Servicios
50333100-9;Servicios de reparacion y mantenimiento de radiotransmisores;Servicios
50333200-0;Reparacion y mantenimiento de aparatos de radiotelefonia;Servicios
50334000-5;Servicios de reparacion y mantenimiento de equipos de telefonia por hilo y telegrafia por hilo;Servicios
50334100-6;Servicios de reparacion y mantenimiento de equipos de telefonia por hilo;Servicios
50334110-9;Servicios de mantenimiento de redes telefonicas;Servicios
50334120-2;Servicios de actualizacion de equipos de conmutacion telefonica;Servicios
50334130-5;Servicios de reparacion y mantenimiento de aparatos de conmutacion telefonica;Servicios
50334140-8;Servicios de reparacion y mantenimiento de aparatos telefonicos;Servicios
50334200-7;Servicios de reparacion y mantenimiento de equipos de telegrafia por hilo;Servicios
50334300-8;Servicios de reparacion y mantenimiento de equipos de telex por hilo;Servicios
50334400-9;Servicios de mantenimiento de sistemas de comunicaciones;Servicios
50341000-7;Servicios de reparacion y mantenimiento de equipos de television;Servicios
50341100-8;Servicios de reparacion y mantenimiento de equipos de videotexto;Servicios
50341200-9;Servicios de reparacion y mantenimiento de transmisores de television;Servicios
50342000-4;Servicios de reparacion y mantenimiento de equipos de audio;Servicios
50343000-1;Servicios de reparacion y mantenimiento de equipos de video;Servicios
50344000-8;Servicios de reparacion y mantenimiento de equipos opticos;Servicios
50344100-9;Servicios de reparacion y mantenimiento de equipos fotograficos;Servicios
50344200-0;Servicios de reparacion y mantenimiento de equipos cinematograficos;Servicios
50411000-9;Servicios de reparacion y mantenimiento de aparatos de medida;Servicios
50411100-0;Servicios de reparacion y mantenimiento de contadores de agua;Servicios
50411200-1;Servicios de reparacion y mantenimiento de contadores de gas;Servicios
50411300-2;Servicios de reparacion y mantenimiento de contadores de electricidad;Servicios
50411400-3;Servicios de reparacion y mantenimiento de tacometros;Servicios
50411500-4;Servicios de reparacion y mantenimiento de equipos industriales de cronomedicion;Servicios
50412000-6;Servicios de reparacion y mantenimiento de aparatos de pruebas;Servicios
50413000-3;Servicios de reparacion y mantenimiento de aparatos de verificacion;Servicios
50413100-4;Servicios de reparacion y mantenimiento de equipos detectores de gas;Servicios
50413200-5;Servicios de reparacion y mantenimiento de instalaciones contra incendios;Servicios
50421000-2;Servicios de reparacion y mantenimiento de equipos medicos;Servicios
50421100-3;Servicios de reparacion y mantenimiento de sillas de ruedas;Servicios
50421200-4;Servicios de reparacion y mantenimiento de equipos de rayos X;Servicios
50422000-9;Servicios de reparacion y mantenimiento de equipos quirurgicos;Servicios
50431000-5;Servicios de reparacion y mantenimiento de relojes de pulsera;Servicios
50432000-2;Servicios de reparacion y mantenimiento de relojes de pared;Servicios
50433000-9;Servicios de calibrado;Servicios
50511000-0;Servicios de reparacion y mantenimiento de bombas;Servicios
50511100-1;Servicios de reparacion y mantenimiento de bombas para liquidos;Servicios
50511200-2;Servicios de reparacion y mantenimiento de bombas de gas;Servicios
50512000-7;Servicios de reparacion y mantenimiento de valvulas;Servicios
50513000-4;Servicios de reparacion y mantenimiento de grifos;Servicios
50514000-1;Servicios de reparacion y mantenimiento de contenedores metalicos;Servicios
50514100-2;Servicios de reparacion y mantenimiento de cisternas;Servicios
50514200-3;Servicios de reparacion y mantenimiento de depositos;Servicios
50514300-4;Servicios de reparacion del revestimiento de los tubos de encamisado;Servicios
50531000-6;Servicios de reparacion y mantenimiento de maquinaria no electrica;Servicios
50531100-7;Servicios de reparacion y mantenimiento de calderas;Servicios
50531200-8;Servicios de mantenimiento de aparatos de gas;Servicios
50531300-9;Servicios de reparacion y mantenimiento de compresores;Servicios
50531400-0;Servicios de reparacion y mantenimiento de gruas;Servicios
50531500-1;Servicios de reparacion y mantenimiento de gruas derrick;Servicios
50531510-4;Servicios de desmontaje de torres de perforacion;Servicios
50532000-3;Servicios de reparacion y mantenimiento de maquinaria electrica, aparatos y equipo asociado;Servicios
50532100-4;Servicios de reparacion y mantenimiento de motores electricos;Servicios
50532200-5;Servicios de reparacion y mantenimiento de transformadores;Servicios
50532300-6;Servicios de reparacion y mantenimiento de generadores;Servicios
50532400-7;Servicios de reparacion y mantenimiento de equipos de distribucion electrica;Servicios
50711000-2;Servicios de reparacion y mantenimiento de equipos electricos de edificios;Servicios
50712000-9;Servicios de reparacion y mantenimiento de equipos mecanicos de edificios;Servicios
50721000-5;Puesta a punto de instalaciones de calefaccion;Servicios
50821000-6;Servicios de reparacion de botas;Servicios
50822000-3;Servicios de reparacion de zapatos;Servicios
50841000-2;Servicios de reparacion y mantenimiento de armas;Servicios
50842000-9;Servicios de reparacion y mantenimiento de sistemas de armas;Servicios
50881000-4;Servicios de reparacion y mantenimiento de equipo de hosteleria;Servicios
50882000-1;Servicios de reparacion y mantenimiento de equipo de restaurante;Servicios
50883000-8;Servicios de reparacion y mantenimiento de equipo de catering;Servicios
50884000-5;Servicios de reparacion y mantenimiento de equipo de camping;Servicios
51111000-3;Servicios de instalacion de motores electricos, generadores y transformadores;Servicios
51111100-4;Servicios de instalacion de motores electricos;Servicios
51111200-5;Servicios de instalacion de generadores;Servicios
51111300-6;Servicios de instalacion de transformadores;Servicios
51112000-0;Servicios de instalacion de equipos de distribucion y de control de electricidad;Servicios
51112100-1;Servicios de instalacion de equipos de distribucion de electricidad;Servicios
51112200-2;Servicios de instalacion de equipos de control de electricidad;Servicios
51121000-6;Servicios de instalacion de aparatos de ejercicio fisico;Servicios
51122000-3;Servicios de instalacion de mastiles de bandera;Servicios
51131000-9;Servicios de instalacion de generadores de vapor;Servicios
51133000-3;Servicios de instalacion de turbinas;Servicios
51133100-4;Servicios de instalacion de turbinas de gas;Servicios
51134000-0;Servicios de instalacion de compresores;Servicios
51135000-7;Servicios de instalacion de hornos;Servicios
51135100-8;Servicios de instalacion de quemadores;Servicios
51135110-1;Servicios de instalacion de incineradores de residuos;Servicios
51141000-2;Servicios de instalacion de motores de gasolina;Servicios
51142000-9;Servicios de instalacion de motores diesel;Servicios
51143000-6;Servicios de instalacion de motores de ferrocarril;Servicios
51144000-3;Servicios de instalacion de motores de vehiculos;Servicios
51145000-0;Servicios de instalacion de motores marinos;Servicios
51146000-7;Servicios de instalacion de motores de aeronaves;Servicios
51211000-4;Servicios de instalacion de equipo de cronomedicion;Servicios
51212000-1;Servicios de instalacion de equipos de registro de asistencia;Servicios
51213000-8;Servicios de instalacion de equipos de control horario (fechadores y contadores);Servicios
51214000-5;Servicios de instalacion de equipos de parquimetros;Servicios
51215000-2;Servicios de instalacion de equipos meteorologicos;Servicios
51216000-9;Servicios de instalacion de equipos geologicos;Servicios
51221000-7;Servicios de instalacion de dispositivos de facturacion automatica en aeropuertos;Servicios
51311000-5;Servicios de instalacion de equipo de radio;Servicios
51312000-2;Servicios de instalacion de equipo de television;Servicios
51313000-9;Servicios de instalacion de equipo de sonido;Servicios
51314000-6;Servicios de instalacion de equipo de video;Servicios
51321000-8;Servicios de instalacion de radiotransmisores;Servicios
51322000-5;Servicios de instalacion de transmisores de television;Servicios
51411000-6;Servicios de instalacion de equipos de imagineria;Servicios
51412000-3;Servicios de instalacion de equipos de odontologia y sus especialidades;Servicios
51413000-0;Servicios de instalacion de equipos de radioterapia;Servicios
51414000-7;Servicios de instalacion de equipos de mecanoterapia;Servicios
51415000-4;Servicios de instalacion de equipos de electroterapia;Servicios
51416000-1;Servicios de instalacion de equipos de fisioterapia;Servicios
51511000-7;Servicios de instalacion de equipos de elevacion y de manipulacion, excepto ascensores y escaleras mecanicas;Servicios
51511100-8;Servicios de instalacion de equipos de elevacion;Servicios
51511110-1;Servicios de instalacion de gruas;Servicios
51511200-9;Servicios de instalacion de equipos de manipulacion;Servicios
51511300-0;Servicios de instalacion de equipos suspendidos de acceso;Servicios
51511400-1;Servicios de instalacion de equipos transportadores automaticos;Servicios
51514000-8;Servicios de instalacion de maquinaria diversa de uso general;Servicios
51514100-9;Servicios de instalacion de maquinaria y aparatos para filtrar o depurar liquidos;Servicios
51514110-2;Servicios de instalacion de maquinaria y aparatos para filtrar o depurar agua;Servicios
51521000-0;Servicios de instalacion de maquinaria agricola;Servicios
51522000-7;Servicios de instalacion de maquinaria forestal;Servicios
51541000-6;Servicios de instalacion de maquinaria para extraccion, construccion y metalurgia;Servicios
51541100-7;Servicios de instalacion de maquinaria para la mineria;Servicios
51541200-8;Servicios de instalacion de maquinaria para explotacion de canteras;Servicios
51541300-9;Servicios de instalacion de maquinaria para la construccion;Servicios
51541400-0;Servicios de instalacion de maquinaria para la metalurgia;Servicios
51542000-3;Servicios de instalacion de maquinaria para la elaboracion de alimentos, bebidas y tabaco;Servicios
51542100-4;Servicios de instalacion de maquinaria para la elaboracion de alimentos;Servicios
51542200-5;Servicios de instalacion de maquinaria para la elaboracion de bebidas;Servicios
51542300-6;Servicios de instalacion de maquinaria para la elaboracion de tabaco;Servicios
51543000-0;Servicios de instalacion de maquinaria para la produccion de textiles, prendas de vestir y cuero;Servicios
51543100-1;Servicios de instalacion de maquinaria para la produccion de textiles;Servicios
51543200-2;Servicios de instalacion de maquinaria para la produccion de prendas de vestir;Servicios
51543300-3;Servicios de instalacion de maquinaria para la produccion de cuero;Servicios
51543400-4;Servicios de instalacion de maquinas para lavar y para secar ropa y maquinas para limpieza en seco;Servicios
51544000-7;Servicios de instalacion de maquinaria para la produccion de papel y carton;Servicios
51544100-8;Servicios de instalacion de maquinaria para la produccion de papel;Servicios
51544200-9;Servicios de instalacion de maquinaria para la produccion de carton;Servicios
51545000-4;Servicios de instalacion de buzones de exterior;Servicios
51611000-8;Servicios de instalacion de ordenadores;Servicios
51611100-9;Servicios de instalacion de equipo informatico;Servicios
51611110-2;Servicios de instalacion de pantallas o paneles de anuncios de salidas y llegadas para aeropuertos;Servicios
51611120-5;Servicios de instalacion de pantallas o paneles de anuncios de salidas y llegadas para estaciones de tren;Servicios
51612000-5;Servicios de instalacion de equipo para procesamiento de la informacion;Servicios
55221000-5;Servicios para acampada con caravana;Servicios
55241000-1;Servicios de centros de vacaciones;Servicios
55242000-8;Servicios de hogares de vacaciones;Servicios
55243000-5;Servicios de colonias de vacaciones para ni?os;Servicios
55311000-3;Servicios de camareros de restaurante para clientela restringida;Servicios
55312000-0;Servicios de camareros de restaurante para clientela en general;Servicios
55321000-6;Servicios de preparacion de comidas;Servicios
55322000-3;Servicios de elaboracion de comidas;Servicios
55511000-5;Servicios de cantina y otros servicios de cafeteria para clientela restringida;Servicios
55512000-2;Servicios de gestion de cantina;Servicios
55521000-8;Servicios de suministro de comidas para particulares;Servicios
55521100-9;Servicios de entrega de comidas a domicilio;Servicios
55521200-0;Servicios de entrega de comidas;Servicios
55522000-5;Servicios de suministro de comidas para empresas de transporte;Servicios
55523000-2;Servicios de suministro de comidas para otras empresas e instituciones;Servicios
55523100-3;Servicios de comidas para escuelas;Servicios
55524000-9;Servicios de suministro de comidas para escuelas;Servicios
60112000-6;(1) Servicios de transporte por la via publica;Servicios
60161000-4;Servicios de transporte de paquetes;Servicios
60171000-7;Alquiler de automoviles de pasajeros con conductor;Servicios
60172000-4;Alquiler de autobuses y autocares con conductor;Servicios
60181000-0;Alquiler de camiones con conductor;Servicios
60182000-7;Alquiler de vehiculos industriales con conductor;Servicios
60183000-4;Alquiler de camionetas con conductor;Servicios
60411000-2;Servicios de transporte de correo aereo regular;Servicios
60421000-5;Servicios de transporte de correo aereo no regular;Servicios
60423000-9;Servicios charter;Servicios
60424000-6;Alquiler de medios de transporte aereo con tripulacion;Servicios
60424100-7;Alquiler de aeronaves con tripulacion;Servicios
60424110-0;Alquiler de aeronaves de ala fija con tripulacion;Servicios
60424120-3;Alquiler de helicopteros con tripulacion;Servicios
60441000-1;Servicios de pulverizacion aerea;Servicios
60442000-8;Servicios de extincion aerea de incendios forestales;Servicios
60443000-5;Servicios de rescate aereo;Servicios
60443100-6;Servicios de rescate aereo-maritimo;Servicios
60444000-2;Servicios de explotacion de aeronaves;Servicios
60444100-3;Servicios de piloto;Servicios
60445000-9;Servicios de operacion de aeronaves;Servicios
60651000-6;Alquiler de embarcaciones con tripulacion;Servicios
60651100-7;Alquiler de embarcaciones de navegacion maritima, con tripulacion;Servicios
60651200-8;Alquiler de barcos de navegacion interior con tripulacion;Servicios
60651300-9;Servicios de buques anticontaminantes;Servicios
60651400-0;Servicios de buques de cargas pesadas;Servicios
60651500-1;Servicios de buques de socorro;Servicios
60651600-2;Servicios de embarcaciones de suministro en alta mar;Servicios
60653000-0;Alquiler de barcos con tripulacion;Servicios
63111000-0;Servicios de carga y descarga de contenedores;Servicios
63112000-7;Servicios de manipulacion de equipajes;Servicios
63112100-8;Servicios de manipulacion de equipajes de pasajeros;Servicios
63112110-1;Servicios de recogida de equipaje;Servicios
63121000-3;Servicios de almacenamiento y recuperacion;Servicios
63121100-4;Servicios de almacenamiento;Servicios
63121110-7;Servicios de almacenamiento de gas;Servicios
63122000-0;Servicios de deposito;Servicios
63511000-4;Organizacion de viajes combinados;Servicios
63512000-1;Servicios de venta de billetes y de viajes combinados;Servicios
63513000-8;Servicios de informacion turistica;Servicios
63514000-5;Servicios de guias de turismo;Servicios
63515000-2;Servicios de viajes;Servicios
63516000-9;Servicios de gestion de viajes;Servicios
63521000-7;Servicios de compa?ia de transporte de carga;Servicios
63522000-4;Servicios de corretaje maritimo;Servicios
63523000-1;Servicios de agencias portuarias y expedidoras;Servicios
63524000-8;Servicios de preparacion de documentos de transporte;Servicios
63711000-6;Servicios complementarios para el transporte ferroviario;Servicios
63711100-7;Servicios de monitorizacion de trenes;Servicios
63711200-8;Servicios de talleres moviles;Servicios
63712000-3;Servicios complementarios para el transporte por carretera;Servicios
63712100-4;Servicios de estaciones de autobuses;Servicios
63712200-5;Servicios de explotacion de autopistas;Servicios
63712210-8;Servicios de peaje en autopistas;Servicios
63712300-6;Servicios de explotacion de puentes y tuneles;Servicios
63712310-9;Servicios de operacion de puentes;Servicios
63712311-6;Servicios de peaje en puentes;Servicios
63712320-2;Servicios de explotacion de tuneles;Servicios
63712321-9;Servicios de peaje en tuneles;Servicios
63712400-7;Servicios de estacionamiento;Servicios
63712500-8;Servicios de puente-bascula;Servicios
63712600-9;Servicios de repostaje de vehiculos;Servicios
63712700-0;Servicios de control del trafico;Servicios
63712710-3;Servicios de monitorizacion del trafico;Servicios
63721000-9;Servicios de explotacion de puertos y vias de navegacion y servicios asociados;Servicios
63721100-0;Servicios de reabastecimiento;Servicios
63721200-1;Servicios de explotacion de puertos;Servicios
63721300-2;Servicios de explotacion de vias de navegacion;Servicios
63721400-3;Servicios de repostaje de buques;Servicios
63721500-4;Servicios de explotacion de terminales de pasajeros;Servicios
63722000-6;Servicios de pilotaje naval;Servicios
63723000-3;Servicios de atraque;Servicios
63724000-0;Servicios de navegacion;Servicios
63724100-1;Servicios de posicionamiento en alta mar;Servicios
63724110-4;Servicios de posicionamiento de buques faro;Servicios
63724200-2;Servicios de buques faro;Servicios
63724300-3;Servicios de posicionamiento de boyas;Servicios
63724310-6;Servicios de balizado con boyas;Servicios
63724400-4;Servicios de faro;Servicios
63725000-7;Servicios de salvamento y puesta a flote;Servicios
63725100-8;Servicios de salvamento de embarcaciones;Servicios
63725200-9;Servicios de embarcaciones de socorro;Servicios
63725300-0;Servicios de puesta a flote de embarcaciones;Servicios
63726000-4;Servicios varios de soporte al transporte por vias navegables;Servicios
63726100-5;Servicios de matriculacion de embarcaciones;Servicios
63726200-6;Servicios de rompehielos;Servicios
63726300-7;Servicios de deposito de barcos;Servicios
63726400-8;Servicios de fletamento de barcos;Servicios
63726500-9;Servicios de amarre de embarcaciones;Servicios
63726600-0;Servicios de explotacion de embarcaciones;Servicios
63726610-3;Servicios de botadura de buques;Servicios
63726620-6;Servicios de vehiculos de control remoto (ROV);Servicios
63726700-1;Servicios de embarcaciones de pesca;Servicios
63726800-2;Servicios de barcos de investigacion;Servicios
63726900-3;Servicios de manipulacion de anclas;Servicios
63727000-1;Servicios de embarcaciones de remolque y traccion;Servicios
63727100-2;Servicios de remolque;Servicios
63727200-3;Servicios de traccion;Servicios
63731000-2;Servicios de explotacion de aeropuertos;Servicios
63731100-3;Servicios de coordinacion de franjas horarias en los aeropuertos;Servicios
63732000-9;Servicios de control del trafico aereo;Servicios
63733000-6;Servicios de repostaje de aeronaves;Servicios
63734000-3;Servicios de hangares;Servicios
64111000-7;Servicios postales relacionados con periodicos y revistas;Servicios
64112000-4;Servicios postales relacionados con cartas;Servicios
64113000-1;Servicios postales relacionados con paquetes;Servicios
64114000-8;Servicios de ventanilla de correos;Servicios
64115000-5;Alquiler de apartados de correos;Servicios
64116000-2;Servicios de lista de correos;Servicios
64121000-0;Servicios multimodales de correo;Servicios
64121100-1;Servicios de distribucion postal;Servicios
64121200-2;Servicios de distribucion de paquetes;Servicios
64122000-7;Servicios de correo interno;Servicios
64211000-8;Servicios de telefonos publicos;Servicios
64211100-9;Servicios de telefonia local;Servicios
64211200-0;Servicios de telefonia de larga distancia;Servicios
64212000-5;Servicios de telefonia movil;Servicios
64212100-6;Servicios del Servicio de Mensajes Cortos (SMS);Servicios
64212200-7;Servicios del Servicio de Mensajeria Multimedia (EMS);Servicios
64212300-8;Servicios del Servicio de Mensajes Multimedia (MMS);Servicios
64212400-9;Servicios del Protocolo de Acceso Inalambrico (WAP);Servicios
64212500-0;Servicios del Servicio General de Radio por Paquetes (GPRS);Servicios
64212600-1;Servicios de Datos Ampliados para la Evolucion de GSM (EDGE);Servicios
64212700-2;Servicios del Sistema Universal de Telefonia Movil (UMTS);Servicios
64212800-3;Servicios de proveedor de telefonia de pago;Servicios
64212900-4;Servicios de proveedor de tarjetas telefonicas de prepago;Servicios
64213000-2;Servicios de redes telefonicas comerciales compartidas;Servicios
64214000-9;Servicios de redes telefonicas comerciales especializadas;Servicios
64214100-0;Servicios de alquiler de circuitos por satelite;Servicios
64214200-1;Servicios de centralitas telefonicas;Servicios
64214400-3;Alquiler de lineas terrestres de comunicacion;Servicios
64215000-6;Servicios telefonicos PI;Servicios
64216000-3;Servicios de mensajeria y de informacion electronicas;Servicios
64216100-4;Servicios de mensajeria electronica;Servicios
64216110-7;Servicios de intercambio electronico de datos;Servicios
64216120-0;Servicios de correo electronico;Servicios
64216130-3;Servicios de telex;Servicios
64216140-6;Servicios de telegrafia;Servicios
64216200-5;Servicios de informacion electronica;Servicios
64216210-8;Servicios de informacion con valor a?adido;Servicios
64216300-6;Servicios de teletexto;Servicios
64221000-1;Servicios de interconexion;Servicios
64222000-8;Servicios de teletrabajo;Servicios
64223000-5;Servicios de radiobusqueda;Servicios
64224000-2;Servicios de teleconferencia;Servicios
64225000-9;Servicios de telecomunicaciones aire-tierra;Servicios
64226000-6;Servicios de telematica;Servicios
64227000-3;Servicios de telecomunicaciones integradas;Servicios
64228000-0;(2) Servicios de transmision de programas de television y de radio;Servicios
