CPV_Categoria;Descripcion_Categoria;Tipo_de_contrato
14522300-9;Esmeril;Suministros
14522400-0;Abrasivos naturales;Suministros
14523000-3;Minerales conexos, metales preciosos y productos afines;Suministros
14523100-4;Minerales;Suministros
14523200-5;Oro;Suministros
14523300-6;Plata;Suministros
14523400-7;Platino;Suministros
14611000-7;Minerales de hierro;Suministros
14612000-4;Minerales metalicos no ferrosos;Suministros
14612100-5;Minerales de cobre;Suministros
14612200-6;Minerales de niquel;Suministros
14612300-7;Minerales de aluminio;Suministros
14612400-8;Minerales de metales preciosos;Suministros
14612500-9;Minerales de plomo;Suministros
14612600-0;Minerales de zinc;Suministros
14612700-1;Minerales de esta?o;Suministros
14613000-1;Minerales de uranio y torio;Suministros
14613100-2;Minerales de uranio;Suministros
14613200-3;Minerales de torio;Suministros
14614000-8;Minerales diversos;Suministros
14621000-0;Ferroaleaciones;Suministros
14621100-1;Ferroaleaciones distintas de las de la CECA;Suministros
14621110-4;Ferromanganeso;Suministros
14621120-7;Ferrocromo;Suministros
14621130-0;Ferroniquel;Suministros
14622000-7;Acero;Suministros
14711000-8;Hierro;Suministros
14711100-9;Fundicion en bruto;Suministros
14712000-5;Plomo;Suministros
14713000-2;Zinc;Suministros
14714000-9;Esta?o;Suministros
14715000-6;Cobre;Suministros
14721000-1;Aluminio;Suministros
14721100-2;Oxido de aluminio;Suministros
14722000-8;Niquel;Suministros
14723000-5;Escandio;Suministros
14724000-2;Titanio;Suministros
14725000-9;Vanadio;Suministros
14731000-4;Cromo;Suministros
14732000-1;Manganeso;Suministros
14733000-8;Cobalto;Suministros
14734000-5;Itrio;Suministros
14735000-2;Circonio;Suministros
14741000-7;Molibdeno;Suministros
14742000-4;Tecnecio;Suministros
14743000-1;Rutenio;Suministros
14744000-8;Rodio;Suministros
14751000-0;Cadmio;Suministros
14752000-7;Lutecio;Suministros
14753000-4;Hafnio;Suministros
14754000-1;Tantalio;Suministros
14755000-8;Wolframio;Suministros
14761000-3;Iridio;Suministros
14762000-0;Galio;Suministros
14763000-7;Indio;Suministros
14764000-4;Talio;Suministros
14765000-1;Bario;Suministros
14771000-6;Cesio;Suministros
14772000-3;Estroncio;Suministros
14773000-0;Rubidio;Suministros
14774000-7;Calcio;Suministros
14781000-9;Potasio;Suministros
14782000-6;Magnesio;Suministros
14783000-3;Sodio;Suministros
14784000-0;Litio;Suministros
14791000-2;Niobio;Suministros
14792000-9;Osmio;Suministros
14793000-6;Renio;Suministros
14794000-3;Paladio;Suministros
14811000-9;Muelas, piedras y ruedas de amolar;Suministros
14811100-0;Muelas;Suministros
14811200-1;Piedras de amolar;Suministros
14811300-2;Ruedas de amolar;Suministros
14812000-6;Abrasivos en polvo o en grano;Suministros
14813000-3;Corindon artificial;Suministros
14814000-0;Grafito artificial;Suministros
15111000-9;Carne de bovino;Suministros
15111100-0;Carne de vaca;Suministros
15111200-1;Carne de ternera;Suministros
15112000-6;Aves de corral;Suministros
15112100-7;Aves de corral frescas;Suministros
15112110-0;Gansos;Suministros
15112120-3;Pavos;Suministros
15112130-6;Pollos;Suministros
15112140-9;Patos;Suministros
15112300-9;Higados de aves de corral;Suministros
15112310-2;Foie gras;Suministros
15113000-3;Carne de cerdo;Suministros
15114000-0;Despojos;Suministros
15115000-7;Cordero y carnero;Suministros
15115100-8;Cordero;Suministros
15115200-9;Carnero;Suministros
15117000-1;Carne de cabra;Suministros
15118000-8;Carne de caballo, asno, mulo o burdegano;Suministros
15118100-9;Carne de caballo;Suministros
15118900-7;Carne de asno, mulo o burdegano;Suministros
15119000-5;Carnes diversas;Suministros
15119100-6;Carne de conejo;Suministros
15119200-7;Carne de liebre;Suministros
15119300-8;Caza;Suministros
15119400-9;Ancas de rana;Suministros
15119500-0;Palomas;Suministros
15119600-1;Carne de pescado;Suministros
15131000-5;Conservas y preparaciones carnicas;Suministros
15131100-6;Productos a base de carne para embutidos;Suministros
15131110-9;Carne para embutidos;Suministros
15131120-2;Productos de charcuteria;Suministros
15131130-5;Embutidos;Suministros
15131134-3;Morcillas y otros embutidos de sangre;Suministros
15131135-0;Embutidos de carne de ave;Suministros
15131200-7;Carne seca, salada, ahumada o condimentada;Suministros
15131210-0;Jamon ahumado;Suministros
15131220-3;Beicon;Suministros
15131230-6;Salami;Suministros
15131300-8;Preparaciones a base de higado;Suministros
15131310-1;Pate;Suministros
15131320-4;Preparaciones a base de higado de ganso o de pato;Suministros
15131400-9;Productos a base de carne de cerdo;Suministros
15131410-2;Jamon;Suministros
15131420-5;Albondigas;Suministros
15131490-6;Platos preparados con carne de cerdo;Suministros
15131500-0;Productos de volateria;Suministros
15131600-1;Productos a base de carne de vaca y de ternera;Suministros
15131610-4;Albondigas de carne de vaca;Suministros
15131620-7;Carne picada de vaca;Suministros
15131640-3;Hamburguesas de carne de vaca;Suministros
15131700-2;Preparaciones a base de carne;Suministros
15211000-0;Filetes de pescado;Suministros
15211100-1;Filetes de pescado fresco;Suministros
15212000-7;Huevas;Suministros
15213000-4;Higados de pescado;Suministros
15221000-3;Pescado congelado;Suministros
15229000-9;Productos congelados de pescados;Suministros
15231000-6;Pescado seco;Suministros
15232000-3;Pescado salado;Suministros
15233000-0;Pescado en salmuera;Suministros
15234000-7;Pescado ahumado;Suministros
15235000-4;Conservas de pescado;Suministros
15241000-9;Pescado empanado, en conserva o en lata;Suministros
15241100-0;Salmon en conserva;Suministros
15241200-1;Arenques preparados o en conserva;Suministros
15241300-2;Sardinas;Suministros
15241400-3;Atun en conserva;Suministros
15241500-4;Caballa;Suministros
15241600-5;Anchoas;Suministros
15241700-6;Palitos de pescado;Suministros
15241800-7;Preparaciones a base de pescado empanado;Suministros
15242000-6;Platos de pescado preparados;Suministros
15243000-3;Preparaciones a base de pescado;Suministros
15244000-0;Caviar y huevos de peces;Suministros
15244100-1;Caviar;Suministros
15244200-2;Huevos de peces;Suministros
15251000-2;Crustaceos congelados;Suministros
15252000-9;Crustaceos preparados o en conserva;Suministros
15253000-6;Productos a base de moluscos;Suministros
15311000-1;Patatas congeladas;Suministros
15311100-2;Patatas fritas;Suministros
15311200-3;Patatas en dados, en rodajas y otras, congeladas;Suministros
15312000-8;Productos a base de patatas;Suministros
15312100-9;Pure de patatas instantaneo;Suministros
15312200-0;Patatas prefritas;Suministros
15312300-1;Hojuelas de patatas;Suministros
15312310-4;Hojuelas de patatas condimentadas;Suministros
15312400-2;Aperitivos a base de patatas;Suministros
15312500-3;Croquetas de patatas;Suministros
15313000-5;Patatas elaboradas;Suministros
15321000-4;Zumos de frutas;Suministros
15321100-5;Zumo de naranja;Suministros
15321200-6;Zumo de pomelo;Suministros
15321300-7;Zumo de limon;Suministros
15321400-8;Zumo de pi?a;Suministros
15321500-9;Zumo de uva;Suministros
15321600-0;Zumo de manzana;Suministros
15321700-1;Mezclas de zumos no concentrados;Suministros
15321800-2;Zumos concentrados;Suministros
15322000-1;Zumos de hortalizas;Suministros
15322100-2;Zumo de tomate;Suministros
15331000-7;Legumbres y hortalizas elaboradas;Suministros
15331100-8;Legumbres y hortalizas frescas o congeladas;Suministros
15331110-1;Hortalizas de raiz elaboradas;Suministros
15331120-4;Hortalizas de tuberculo elaboradas;Suministros
15331130-7;Judias, guisantes, pimientos, tomates y las demas legumbres y hortalizas;Suministros
15331131-4;Judias elaboradas;Suministros
15331132-1;Guisantes elaborados;Suministros
15331133-8;Guisantes partidos;Suministros
15331134-5;Tomates elaborados;Suministros
15331135-2;Setas elaboradas;Suministros
15331136-9;Pimientos elaborados;Suministros
15331137-6;Brotes de soja;Suministros
15331138-3;Trufas;Suministros
15331140-0;Hortalizas de hoja y coles;Suministros
15331142-4;Repollos elaborados;Suministros
15331150-3;Legumbres elaboradas;Suministros
15331170-9;Legumbres y hortalizas congeladas;Suministros
15331400-1;Legumbres y hortalizas en conserva y/o enlatadas;Suministros
15331410-4;Judias en salsa de tomate;Suministros
15331411-1;Judias blancas cocidas, en salsa de tomate;Suministros
15331420-7;Tomates en conserva;Suministros
15331423-8;Tomates enlatados;Suministros
15331425-2;Pure de tomate;Suministros
15331427-6;Pure de tomate concentrado;Suministros
15331428-3;Salsa de tomate;Suministros
15331430-0;Champi?ones enlatados;Suministros
15331450-6;Aceitunas elaboradas;Suministros
15331460-9;Legumbres y hortalizas enlatadas;Suministros
15331461-6;Coles fermentadas enlatadas;Suministros
15331462-3;Guisantes enlatados;Suministros
15331463-0;Alubias desvainadas enlatadas;Suministros
15331464-7;Judias verdes enteras enlatadas;Suministros
15331465-4;Esparragos enlatados;Suministros
15331466-1;Aceitunas enlatadas;Suministros
15331470-2;Maiz dulce;Suministros
15331480-5;Legumbres y hortalizas conservadas provisionalmente;Suministros
15331500-2;Hortalizas en vinagre;Suministros
15332000-4;Frutas y frutos de cascara elaborados;Suministros
15332100-5;Frutas elaboradas;Suministros
15332140-7;Manzanas elaboradas;Suministros
15332150-0;Peras elaboradas;Suministros
15332160-3;Platanos elaborados;Suministros
15332170-6;Ruibarbo;Suministros
15332180-9;Melones;Suministros
15332200-6;"""Compotas y mermeladas; jaleas de fruta; pures y pastas de fruta o de frutos de cascara""";Suministros
15332230-5;Mermeladas;Suministros
15332231-2;Mermelada de naranja;Suministros
15332232-9;Mermelada de limon;Suministros
15332240-8;Jaleas de fruta;Suministros
15332250-1;Pastas de fruta;Suministros
15332260-4;Pasta de frutos de cascara;Suministros
15332261-1;Mantequilla de cacahuete;Suministros
15332270-7;Pures de fruta;Suministros
15332290-3;Compotas;Suministros
15332291-0;Compota de albaricoque;Suministros
15332292-7;Compota de zarzamora;Suministros
15332293-4;Compota de grosella negra <casis>;Suministros
15332294-1;Compota de cereza;Suministros
15332295-8;Compota de frambuesa;Suministros
15332296-5;Compota de fresa;Suministros
15332300-7;Frutos de cascara elaborados;Suministros
15332310-0;Frutos de cascara tostados o salados;Suministros
15332400-8;Conservas de fruta;Suministros
15332410-1;Fruta seca;Suministros
15332411-8;Pasas de Corinto elaboradas;Suministros
15332412-5;Pasas elaboradas;Suministros
15332419-4;Sultaninas;Suministros
15333000-1;Subproductos de hortalizas;Suministros
15411000-2;Aceites animales o vegetales;Suministros
15411100-3;Aceites vegetales;Suministros
15411110-6;Aceite de oliva;Suministros
15411120-9;Aceite de sesamo;Suministros
15411130-2;Aceite de cacahuete;Suministros
15411140-5;Aceite de coco;Suministros
15411200-4;Aceite de cocina;Suministros
15411210-7;Aceite para freir;Suministros
15412000-9;Grasas;Suministros
15412100-0;Grasas animales;Suministros
15412200-1;Grasas vegetales;Suministros
15413000-6;Residuos solidos de grasas o aceites vegetales;Suministros
15413100-7;Torta de oleaginosas;Suministros
15421000-5;Aceites refinados;Suministros
15422000-2;Grasas refinadas;Suministros
15423000-9;Grasas o aceites hidrogenados o esterificados;Suministros
15424000-6;Ceras vegetales;Suministros
15431000-8;Margarina y preparaciones similares;Suministros
15431100-9;Margarina;Suministros
15431110-2;Margarina liquida;Suministros
15431200-0;Productos para untar de contenido graso bajo o reducido;Suministros
15511000-3;Leche;Suministros
15511100-4;Leche pasteurizada;Suministros
15511200-5;Leche esterilizada;Suministros
15511210-8;Leche UHT;Suministros
15511300-6;Leche descremada;Suministros
